Ano,Municipio,value
2015,Azcapotzalco,73
2015,Benito Juárez,58
2015,Coyoacán,56
2015,Cuajimalpa de Morelos,35
2015,Cuauhtémoc,169
2015,Gustavo A. Madero,245
2015,Iztacalco,58
2015,Iztapalapa,312
2015,La Magdalena Contreras,14
2015,Miguel Hidalgo,85
2015,Milpa Alta,16
2015,No Especificado,1
2015,Tlalpan,106
2015,Tláhuac,38
2015,Venustiano Carranza,166
2015,Xochimilco,45
2015,Álvaro Obregón,108
2016,Azcapotzalco,46
2016,Benito Juárez,59
2016,Coyoacán,70
2016,Cuajimalpa de Morelos,18
2016,Cuauhtémoc,163
2016,Gustavo A. Madero,238
2016,Iztacalco,66
2016,Iztapalapa,349
2016,La Magdalena Contreras,22
2016,Miguel Hidalgo,77
2016,Milpa Alta,23
2016,No Especificado,1
2016,Tlalpan,87
2016,Tláhuac,53
2016,Venustiano Carranza,170
2016,Xochimilco,57
2016,Álvaro Obregón,95
2017,Azcapotzalco,57
2017,Benito Juárez,72
2017,Coyoacán,64
2017,Cuajimalpa de Morelos,31
2017,Cuauhtémoc,184
2017,Gustavo A. Madero,281
2017,Iztacalco,50
2017,Iztapalapa,347
2017,La Magdalena Contreras,22
2017,Miguel Hidalgo,95
2017,Milpa Alta,25
2017,No Especificado,0
2017,Tlalpan,123
2017,Tláhuac,59
2017,Venustiano Carranza,192
2017,Xochimilco,67
2017,Álvaro Obregón,147
2018,Azcapotzalco,60
2018,Benito Juárez,49
2018,Coyoacán,82
2018,Cuajimalpa de Morelos,36
2018,Cuauhtémoc,177
2018,Gustavo A. Madero,310
2018,Iztacalco,70
2018,Iztapalapa,428
2018,La Magdalena Contreras,30
2018,Miguel Hidalgo,77
2018,Milpa Alta,24
2018,No Especificado,1
2018,Tlalpan,144
2018,Tláhuac,74
2018,Venustiano Carranza,209
2018,Xochimilco,84
2018,Álvaro Obregón,126
2019,Azcapotzalco,74
2019,Benito Juárez,39
2019,Coyoacán,93
2019,Cuajimalpa de Morelos,34
2019,Cuauhtémoc,170
2019,Gustavo A. Madero,279
2019,Iztacalco,71
2019,Iztapalapa,424
2019,La Magdalena Contreras,32
2019,Miguel Hidalgo,76
2019,Milpa Alta,28
2019,No Especificado,0
2019,Tlalpan,174
2019,Tláhuac,91
2019,Venustiano Carranza,174
2019,Xochimilco,64
2019,Álvaro Obregón,174
2020,Azcapotzalco,68
2020,Benito Juárez,67
2020,Coyoacán,75
2020,Cuajimalpa de Morelos,23
2020,Cuauhtémoc,147
2020,Gustavo A. Madero,236
2020,Iztacalco,90
2020,Iztapalapa,375
2020,La Magdalena Contreras,25
2020,Miguel Hidalgo,69
2020,Milpa Alta,21
2020,No Especificado,0
2020,Tlalpan,176
2020,Tláhuac,84
2020,Venustiano Carranza,146
2020,Xochimilco,58
2020,Álvaro Obregón,101
2021,Azcapotzalco,64
2021,Benito Juárez,64
2021,Coyoacán,61
2021,Cuajimalpa de Morelos,25
2021,Cuauhtémoc,134
2021,Gustavo A. Madero,222
2021,Iztacalco,63
2021,Iztapalapa,327
2021,La Magdalena Contreras,19
2021,Miguel Hidalgo,56
2021,Milpa Alta,12
2021,No Especificado,6
2021,Tlalpan,114
2021,Tláhuac,61
2021,Venustiano Carranza,154
2021,Xochimilco,71
2021,Álvaro Obregón,82
