Ano,Municipio,value
2015,Azcapotzalco,4245
2015,Benito Juárez,6280
2015,Coyoacán,6006
2015,Cuajimalpa de Morelos,927
2015,Cuauhtémoc,11999
2015,Gustavo A. Madero,8783
2015,Iztacalco,3001
2015,Iztapalapa,12646
2015,La Magdalena Contreras,810
2015,Miguel Hidalgo,5274
2015,Milpa Alta,287
2015,No Especificado,28
2015,Tlalpan,4533
2015,Tláhuac,1435
2015,Venustiano Carranza,4013
2015,Xochimilco,2442
2015,Álvaro Obregón,4726
2016,Azcapotzalco,4726
2016,Benito Juárez,7729
2016,Coyoacán,6032
2016,Cuajimalpa de Morelos,959
2016,Cuauhtémoc,12536
2016,Gustavo A. Madero,8303
2016,Iztacalco,3305
2016,Iztapalapa,12811
2016,La Magdalena Contreras,977
2016,Miguel Hidalgo,5617
2016,Milpa Alta,294
2016,No Especificado,17
2016,Tlalpan,4818
2016,Tláhuac,1423
2016,Venustiano Carranza,4357
2016,Xochimilco,2380
2016,Álvaro Obregón,5271
2017,Azcapotzalco,5967
2017,Benito Juárez,10447
2017,Coyoacán,7070
2017,Cuajimalpa de Morelos,1026
2017,Cuauhtémoc,16633
2017,Gustavo A. Madero,10377
2017,Iztacalco,4432
2017,Iztapalapa,15607
2017,La Magdalena Contreras,1002
2017,Miguel Hidalgo,8097
2017,Milpa Alta,363
2017,No Especificado,26
2017,Tlalpan,5293
2017,Tláhuac,1884
2017,Venustiano Carranza,5260
2017,Xochimilco,2726
2017,Álvaro Obregón,6504
2018,Azcapotzalco,6794
2018,Benito Juárez,12414
2018,Coyoacán,8143
2018,Cuajimalpa de Morelos,1230
2018,Cuauhtémoc,20275
2018,Gustavo A. Madero,12361
2018,Iztacalco,5683
2018,Iztapalapa,18998
2018,La Magdalena Contreras,1116
2018,Miguel Hidalgo,9408
2018,Milpa Alta,471
2018,No Especificado,264
2018,Tlalpan,5901
2018,Tláhuac,2303
2018,Venustiano Carranza,6965
2018,Xochimilco,3304
2018,Álvaro Obregón,7884
2019,Azcapotzalco,5132
2019,Benito Juárez,10623
2019,Coyoacán,7090
2019,Cuajimalpa de Morelos,1265
2019,Cuauhtémoc,15973
2019,Gustavo A. Madero,10673
2019,Iztacalco,4838
2019,Iztapalapa,17630
2019,La Magdalena Contreras,1239
2019,Miguel Hidalgo,8708
2019,Milpa Alta,395
2019,No Especificado,0
2019,Tlalpan,6214
2019,Tláhuac,2213
2019,Venustiano Carranza,6305
2019,Xochimilco,3007
2019,Álvaro Obregón,8126
2020,Azcapotzalco,4447
2020,Benito Juárez,7129
2020,Coyoacán,5796
2020,Cuajimalpa de Morelos,1006
2020,Cuauhtémoc,10317
2020,Gustavo A. Madero,7746
2020,Iztacalco,3035
2020,Iztapalapa,12374
2020,La Magdalena Contreras,976
2020,Miguel Hidalgo,5584
2020,Milpa Alta,371
2020,No Especificado,4
2020,Tlalpan,4811
2020,Tláhuac,1698
2020,Venustiano Carranza,4428
2020,Xochimilco,2255
2020,Álvaro Obregón,5985
2021,Azcapotzalco,4620
2021,Benito Juárez,6924
2021,Coyoacán,6225
2021,Cuajimalpa de Morelos,1105
2021,Cuauhtémoc,11354
2021,Gustavo A. Madero,7811
2021,Iztacalco,3197
2021,Iztapalapa,11864
2021,La Magdalena Contreras,1048
2021,Miguel Hidalgo,5713
2021,Milpa Alta,445
2021,No Especificado,138
2021,Tlalpan,4870
2021,Tláhuac,1880
2021,Venustiano Carranza,4638
2021,Xochimilco,2135
2021,Álvaro Obregón,5576
